[2024-11-12T11:56:12.819518800] Account: 100-0.4852208225110045, Type: DEPOSIT, Amount: 400
[2024-11-13T16:02:04.577737400] Account: 400-0.2021387602098439, Type: DEPOSIT, Amount: 300
[2024-11-13T16:40:38.721492600] Account: 255-0.43628661770584265, Type: DEPOSIT, Amount: 100
[2024-11-13T16:41:43.851244900] Account: 100-0.7362607460419512, Type: DEPOSIT, Amount: 300
[2024-11-13T16:42:55.620236800] Account: 400-0.9789889526179841, Type: DEPOSIT, Amount: 100
[2024-11-13T16:46:52.685226100] Account: 401-0.887388701797811, Type: DEPOSIT, Amount: 100
[2024-11-13T16:47:40.761510100] Account: 401-0.887388701797811, Type: DEPOSIT, Amount: 55
[2024-11-13T16:47:40.762510100] Account: 401-0.887388701797811, Type: DEPOSIT, Amount: 55
[2024-11-13T16:54:52.842311800] Account: 101-0.1414992304570727, Type: DEPOSIT, Amount: 400
[2024-11-13T16:55:05.354507600] Account: 401-0.27863503653606103, Type: WITHDRAW, Amount: 55
[2024-11-13T16:55:05.355507500] Account: 401-0.27863503653606103, Type: WITHDRAW, Amount: 55
[2024-11-13T16:56:01.561165200] Account: 101-0.1414992304570727, Type: DEPOSIT, Amount: 1000
[2024-11-13T16:56:01.561165200] Account: 101-0.1414992304570727, Type: DEPOSIT, Amount: 1000
[2024-11-13T16:56:01.561165200] Account: 101-0.1414992304570727, Type: DEPOSIT, Amount: 1000
[2024-11-13T16:56:11.293664700] Account: 401-0.27863503653606103, Type: WITHDRAW, Amount: 500
[2024-11-13T16:56:11.293664700] Account: 401-0.27863503653606103, Type: WITHDRAW, Amount: 500
[2024-11-13T16:56:11.293664700] Account: 401-0.27863503653606103, Type: WITHDRAW, Amount: 500
[2024-11-13T16:56:11.293664700] Account: 401-0.27863503653606103, Type: WITHDRAW, Amount: 500
[2024-11-13T17:48:56.991338500] Account: 100-0.4430728668429973, Type: DEPOSIT, Amount: 100
[2024-11-13T17:48:56.991338500] Account: 200-0.10125629089354016, Type: WITHDRAW, Amount: 100
[2024-11-13T17:48:56.991338500] Account: 100-0.4430728668429973, Type: DEPOSIT, Amount: 100
[2024-11-13T17:48:56.992570400] Account: 200-0.10125629089354016, Type: TRANSFER_OUT, Amount: 100
[2024-11-13T17:48:56.992570400] Account: 200-0.10125629089354016, Type: TRANSFER_OUT, Amount: 100
[2024-11-13T17:48:56.992570400] Account: 200-0.10125629089354016, Type: TRANSFER_OUT, Amount: 100
[2024-11-13T17:48:56.993158300] Account: 100-0.4430728668429973, Type: TRANSFER_IN, Amount: 100
[2024-11-13T17:48:56.993158300] Account: 100-0.4430728668429973, Type: TRANSFER_IN, Amount: 100
[2024-11-13T17:48:56.993158300] Account: 100-0.4430728668429973, Type: TRANSFER_IN, Amount: 100
[2024-11-13T17:48:56.993158300] Account: 100-0.4430728668429973, Type: TRANSFER_IN, Amount: 100
